	GeneID	GOID	GOTerms
231	MG_182	GO:0008033	tRNA processing
234	MG_051	GO:0006206	pyrimidine nucleobase metabolic process
235	MG_051	GO:0006213	pyrimidine nucleoside metabolic process
238	MG_022	GO:0006355	"regulation of transcription	 DNA-templated "
239	MG_022	GO:0006351	"transcription	 DNA-templated "
244	MG_098	GO:0006450	regulation of translational fidelity
251	MG_387	GO:0042254	ribosome biogenesis
260	MG_372	GO:0009228	thiamine biosynthetic process
261	MG_372	GO:0009229	thiamine diphosphate biosynthetic process
262	MG_372	GO:0034227	tRNA thio-modification
263	MG_375	GO:0006435	threonyl-tRNA aminoacylation
266	MG_221	GO:0006351	"transcription	 DNA-templated "
269	MG_473	GO:0006412	translation
274	MG_090	GO:0006412	translation
276	MG_093	GO:0006412	translation
277	MG_099	GO:0006412	translation
278	MG_100	GO:0006412	translation
279	MG_106	GO:0006412	translation
283	MG_153	GO:0006412	translation
289	MG_159	GO:0006412	translation
294	MG_164	GO:0006412	translation
299	MG_169	GO:0006412	translation
300	MG_174	GO:0006412	translation
304	MG_197	GO:0006412	translation
306	MG_481	GO:0006412	translation
307	MG_232	GO:0006412	translation
311	MG_325	GO:0006412	translation
313	MG_363	GO:0006412	translation
314	MG_522	GO:0006412	translation
318	MG_426	GO:0006412	translation
322	MG_466	GO:0006412	translation
323	MG_043	GO:0006810	transport
324	MG_044	GO:0006810	transport
327	MG_179	GO:0006810	transport
328	MG_180	GO:0006810	transport
331	MG_289	GO:0006810	transport
332	MG_291	GO:0006810	transport
338	MG_465	GO:0008033	tRNA processing
341	MG_379	GO:0002098	tRNA wobble uridine modification
