	GeneID	GOID	GOTerms
191	MG_049	GO:0009116	nucleoside metabolic process
196	MG_047	GO:0006730	one-carbon metabolic process
197	MG_047	GO:0006556	S-adenosylmethionine biosynthetic process
199	MG_195	GO:0006432	phenylalanyl-tRNA aminoacylation
209	MG_323	GO:0006813	potassium ion transport
212	MG_201	GO:0006457	protein folding
213	MG_305	GO:0006457	protein folding
219	MG_270	GO:0009249	protein lipoylation
225	MG_077	GO:0015031	protein transport
226	MG_078	GO:0015031	protein transport
227	MG_079	GO:0015031	protein transport
228	MG_080	GO:0015031	protein transport
230	MG_182	GO:0001522	pseudouridine synthesis
231	MG_182	GO:0008033	tRNA processing
234	MG_051	GO:0006206	pyrimidine nucleobase metabolic process
235	MG_051	GO:0006213	pyrimidine nucleoside metabolic process
236	MG_282	GO:0032784	"regulation of DNA-templated transcription	 elongation "
237	MG_282	GO:0006351	"transcription	 DNA-templated "
238	MG_022	GO:0006355	"regulation of transcription	 DNA-templated "
239	MG_022	GO:0006351	"transcription	 DNA-templated "
244	MG_098	GO:0006450	regulation of translational fidelity
245	MG_102	GO:0019430	removal of superoxide radicals
251	MG_387	GO:0042254	ribosome biogenesis
260	MG_372	GO:0009228	thiamine biosynthetic process
261	MG_372	GO:0009229	thiamine diphosphate biosynthetic process
262	MG_372	GO:0034227	tRNA thio-modification
266	MG_221	GO:0006351	"transcription	 DNA-templated "
269	MG_473	GO:0006412	translation
277	MG_099	GO:0006412	translation
278	MG_100	GO:0006412	translation
279	MG_106	GO:0006412	translation
299	MG_169	GO:0006412	translation
306	MG_481	GO:0006412	translation
319	MG_435	GO:0006412	translation
323	MG_043	GO:0006810	transport
324	MG_044	GO:0006810	transport
327	MG_179	GO:0006810	transport
328	MG_180	GO:0006810	transport
331	MG_289	GO:0006810	transport
332	MG_291	GO:0006810	transport
334	MG_008	GO:0006400	tRNA modification
335	MG_084	GO:0008033	tRNA processing
336	MG_295	GO:0008033	tRNA processing
338	MG_465	GO:0008033	tRNA processing
341	MG_379	GO:0002098	tRNA wobble uridine modification
