GeneID	GOID	GOTerms
MG_130	GO:0006402	mRNA catabolic process
MG_367	GO:0006397	mRNA processing
MG_367	GO:0016075	rRNA catabolic process
MG_367	GO:0006364	rRNA processing
MG_037	GO:0009435	NAD biosynthetic process
MG_383	GO:0009435	NAD biosynthetic process
MG_128	GO:0019674	NAD metabolic process
MG_128	GO:0006741	NADP biosynthetic process
MG_049	GO:0009116	nucleoside metabolic process
MG_073	GO:0006289	nucleotide-excision repair
MG_073	GO:0009432	SOS response
MG_421	GO:0006289	nucleotide-excision repair
MG_421	GO:0009432	SOS response
MG_047	GO:0006730	one-carbon metabolic process
MG_047	GO:0006556	S-adenosylmethionine biosynthetic process
MG_194	GO:0006432	phenylalanyl-tRNA aminoacylation
MG_195	GO:0006432	phenylalanyl-tRNA aminoacylation
MG_411	GO:0035435	phosphate ion transmembrane transport
MG_351	GO:0006796	phosphate-containing compound metabolic process
MG_114	GO:0006655	phosphatidylglycerol biosynthetic process
MG_041	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
MG_041	GO:0006355	"regulation of transcription	 DNA-templated "
MG_041	GO:0006351	"transcription	 DNA-templated "
MG_062	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
MG_069	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
MG_429	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
MG_323	GO:0006813	potassium ion transport
MG_283	GO:0006433	prolyl-tRNA aminoacylation
MG_239	GO:0030163	protein catabolic process
MG_201	GO:0006457	protein folding
MG_305	GO:0006457	protein folding
MG_393	GO:0006457	protein folding
MG_072	GO:0017038	protein import
MG_072	GO:0006605	protein targeting
MG_464	GO:0051205	protein insertion into membrane
MG_464	GO:0015031	protein transport
MG_270	GO:0009249	protein lipoylation
MG_392	GO:0042026	protein refolding
MG_448	GO:0030091	protein repair
MG_448	GO:0006979	response to oxidative stress
MG_055	GO:0009306	protein secretion
MG_476	GO:0009306	protein secretion
MG_077	GO:0015031	protein transport
MG_078	GO:0015031	protein transport
MG_079	GO:0015031	protein transport
MG_080	GO:0015031	protein transport
MG_170	GO:0015031	protein transport
MG_182	GO:0001522	pseudouridine synthesis
MG_182	GO:0008033	tRNA processing
MG_209	GO:0001522	pseudouridine synthesis
MG_370	GO:0001522	pseudouridine synthesis
MG_051	GO:0006206	pyrimidine nucleobase metabolic process
MG_051	GO:0006213	pyrimidine nucleoside metabolic process
MG_282	GO:0032784	"regulation of DNA-templated transcription	 elongation "
MG_282	GO:0006351	"transcription	 DNA-templated "
MG_022	GO:0006355	"regulation of transcription	 DNA-templated "
MG_022	GO:0006351	"transcription	 DNA-templated "
MG_205	GO:0006355	"regulation of transcription	 DNA-templated "
MG_205	GO:0006351	"transcription	 DNA-templated "
MG_082	GO:0006417	regulation of translation
MG_082	GO:0006412	translation
MG_098	GO:0006450	regulation of translational fidelity
MG_102	GO:0019430	removal of superoxide radicals
MG_454	GO:0006979	response to oxidative stress
MG_110	GO:0042254	ribosome biogenesis
MG_329	GO:0042254	ribosome biogenesis
MG_361	GO:0042254	ribosome biogenesis
MG_361	GO:0006412	translation
MG_387	GO:0042254	ribosome biogenesis
MG_442	GO:0042254	ribosome biogenesis
MG_252	GO:0006396	RNA processing
MG_139	GO:0006364	rRNA processing
MG_143	GO:0006364	rRNA processing
MG_005	GO:0097056	selenocysteinyl-tRNA(Sec) biosynthetic process
MG_005	GO:0006434	seryl-tRNA aminoacylation
MG_048	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
MG_297	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
MG_372	GO:0009228	thiamine biosynthetic process
MG_372	GO:0009229	thiamine diphosphate biosynthetic process
MG_372	GO:0034227	tRNA thio-modification
MG_375	GO:0006435	threonyl-tRNA aminoacylation
MG_101	GO:0006351	"transcription	 DNA-templated "
MG_177	GO:0006351	"transcription	 DNA-templated "
MG_221	GO:0006351	"transcription	 DNA-templated "
MG_340	GO:0006351	"transcription	 DNA-templated "
MG_341	GO:0006351	"transcription	 DNA-templated "
MG_473	GO:0006412	translation
MG_070	GO:0006412	translation
MG_081	GO:0006412	translation
MG_087	GO:0006412	translation
MG_088	GO:0006412	translation
MG_090	GO:0006412	translation
MG_092	GO:0006412	translation
MG_093	GO:0006412	translation
MG_099	GO:0006412	translation
MG_100	GO:0006412	translation
MG_106	GO:0006412	translation
MG_150	GO:0006412	translation
MG_151	GO:0006412	translation
MG_152	GO:0006412	translation
MG_153	GO:0006412	translation
MG_154	GO:0006412	translation
MG_155	GO:0006412	translation
MG_156	GO:0006412	translation
MG_157	GO:0006412	translation
MG_158	GO:0006412	translation
MG_159	GO:0006412	translation
MG_160	GO:0006412	translation
MG_161	GO:0006412	translation
MG_162	GO:0006412	translation
MG_163	GO:0006412	translation
MG_164	GO:0006412	translation
MG_165	GO:0006412	translation
MG_166	GO:0006412	translation
MG_167	GO:0006412	translation
MG_168	GO:0006412	translation
MG_169	GO:0006412	translation
MG_174	GO:0006412	translation
MG_175	GO:0006412	translation
MG_176	GO:0006412	translation
MG_178	GO:0006412	translation
MG_197	GO:0006412	translation
MG_198	GO:0006412	translation
MG_481	GO:0006412	translation
MG_232	GO:0006412	translation
MG_234	GO:0006412	translation
MG_257	GO:0006412	translation
MG_311	GO:0006412	translation
MG_325	GO:0006412	translation
MG_362	GO:0006412	translation
MG_363	GO:0006412	translation
MG_522	GO:0006412	translation
MG_417	GO:0006412	translation
MG_418	GO:0006412	translation
MG_424	GO:0006412	translation
MG_426	GO:0006412	translation
MG_435	GO:0006412	translation
MG_444	GO:0006412	translation
MG_446	GO:0006412	translation
MG_466	GO:0006412	translation
MG_043	GO:0006810	transport
MG_044	GO:0006810	transport
MG_120	GO:0006810	transport
MG_121	GO:0006810	transport
MG_179	GO:0006810	transport
MG_180	GO:0006810	transport
MG_188	GO:0006810	transport
MG_189	GO:0006810	transport
MG_289	GO:0006810	transport
MG_291	GO:0006810	transport
MG_036	GO:0006418	tRNA aminoacylation for protein translation
MG_008	GO:0006400	tRNA modification
MG_084	GO:0008033	tRNA processing
MG_295	GO:0008033	tRNA processing
MG_346	GO:0008033	tRNA processing
MG_465	GO:0008033	tRNA processing
MG_046	GO:0002949	tRNA threonylcarbamoyladenosine modification
MG_208	GO:0002949	tRNA threonylcarbamoyladenosine modification
MG_379	GO:0002098	tRNA wobble uridine modification
MG_126	GO:0006436	tryptophanyl-tRNA aminoacylation
MG_455	GO:0006437	tyrosyl-tRNA aminoacylation
MG_030	GO:0044206	UMP salvage
MG_030	GO:0006223	uracil salvage
MG_334	GO:0006438	valyl-tRNA aminoacylation
